date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-11-13,Bagerhat,Khulna,22.655478,89.794181,27.1,39,1015,2.39,0,0.0,5,171.93,188.86,205.38,3.19,33.67,690.07
2025-11-13,Bandarban,Chattogram,21.787476,92.412475,31.27,36,1013,1.17,1,0.0,4,57.7,62.04,133.02,0.91,3.66,280.04
2025-11-13,Barguna,Barishal,22.131336,90.117243,26.39,49,1015,3.19,1,0.0,5,99.01,108.8,182.74,0.78,11.92,366.69
2025-11-13,Barishal,Barishal,22.493403,90.354801,26.93,47,1015,2.81,0,0.0,5,100.03,109.39,175.12,0.85,11.76,383.38
2025-11-13,Bhola,Barishal,22.143569,90.790409,25.16,59,1015,3.45,2,0.0,5,91.37,100.74,167.56,0.58,8.05,353.68
2025-11-13,Bogura,Rajshahi,24.850066,89.372843,26.25,45,1015,2.25,0,0.0,5,182.11,205.81,159.83,6.61,22.36,845.86
2025-11-13,Brahmanbaria,Chattogram,23.9606,91.119089,29.06,48,1014,2.57,20,0.0,5,110.82,121.73,158.95,2.12,10.79,484.48
2025-11-13,Chandpur,Chattogram,23.224176,90.6531,26.64,48,1014,2.01,0,0.0,5,110.76,120.93,139.23,1.25,7.49,447.35
2025-11-13,Chapai Nawabganj,Rajshahi,24.599887,88.285047,26.11,42,1016,3.01,0,0.0,5,147.98,170.61,142.34,6.75,23.95,747.3
2025-11-13,Chattogram,Chattogram,22.333778,91.834435,29.93,45,1014,5.14,1,0.0,5,96.97,104.59,157.99,1.31,9.99,407.6
2025-11-13,Chuadanga,Khulna,23.643661,88.846448,27.05,36,1015,3.37,0,0.0,5,239.11,282.76,174.19,24.1,53.79,1349.55
2025-11-13,Cox's Bazar,Chattogram,21.176647,92.003505,25.91,66,1013,5.11,4,0.0,4,56.26,61.61,127.41,0.6,3.59,274.93
2025-11-13,Cumilla,Chattogram,23.461061,91.180875,26.76,57,1014,2.3,0,0.0,5,119.9,131.46,153.19,1.74,9.72,510.4
2025-11-13,Dhaka,Dhaka,23.764386,90.389014,26.98,44,1015,3.09,0,0.0,5,101.59,111.11,155.72,1.61,11.72,428.25
2025-11-13,Dinajpur,Rangpur,25.626071,88.634623,25.63,50,1016,1.37,0,0.0,5,165.68,186.99,169.72,5.36,25.63,726.83
2025-11-13,Faridpur,Dhaka,23.604018,89.841554,26.61,40,1015,2.93,0,0.0,5,142.09,157.7,169.32,3.57,20.13,626.81
2025-11-13,Feni,Chattogram,23.01276,91.404923,26.72,59,1014,2.42,0,0.0,5,124.07,135.28,157.2,1.49,10.0,524.03
2025-11-13,Gaibandha,Rangpur,25.086001,89.869644,26.39,54,1015,1.37,0,0.0,5,184.19,205.67,149.78,4.55,16.49,850.98
2025-11-13,Gazipur,Dhaka,23.999756,90.417363,27.01,44,1015,3.09,0,0.0,5,95.46,104.38,154.74,1.54,9.8,407.83
2025-11-13,Gopalganj,Dhaka,23.004994,89.830318,26.87,39,1015,2.56,0,0.0,5,137.91,151.62,179.52,2.64,22.9,566.42
