date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-09-20,Bagerhat,Khulna,22.655478,89.794181,31.61,63,1005,1.7,99,0.0,3,35.76,39.74,63.84,2.81,2.62,315.64
2025-09-20,Bandarban,Chattogram,21.787476,92.412475,30.12,85,1005,0.63,87,0.0,1,2.33,3.93,44.48,0.35,0.05,101.7
2025-09-20,Barguna,Barishal,22.131336,90.117243,31.05,68,1005,2.29,100,0.0,2,11.41,14.38,63.9,0.08,0.18,148.57
2025-09-20,Barishal,Barishal,22.493403,90.354801,32.02,63,1005,2.52,95,0.0,2,11.12,13.87,66.22,0.21,0.32,156.64
2025-09-20,Bhola,Barishal,22.143569,90.790409,30.74,70,1005,2.68,96,0.0,1,7.17,10.91,58.93,0.04,0.08,131.51
2025-09-20,Bogura,Rajshahi,24.850066,89.372843,33.33,58,1005,1.18,59,0.0,5,119.54,125.38,16.29,30.47,13.85,657.48
2025-09-20,Brahmanbaria,Chattogram,23.9606,91.119089,32.06,74,1004,1.03,75,0.0,3,28.2,31.11,54.57,3.59,1.53,245.69
2025-09-20,Chandpur,Chattogram,23.224176,90.6531,31.01,70,1005,2.74,98,0.0,2,15.8,17.07,57.75,1.88,1.2,176.38
2025-09-20,Chapai Nawabganj,Rajshahi,24.599887,88.285047,33.57,55,1005,0.95,48,0.0,5,234.25,245.48,9.66,39.66,38.51,1020.33
2025-09-20,Chattogram,Chattogram,22.333778,91.834435,29.82,77,1005,2.94,69,0.0,1,4.66,6.35,54.47,0.09,0.07,114.4
2025-09-20,Chuadanga,Khulna,23.643661,88.846448,31.4,66,1005,0.91,100,0.0,5,80.37,92.2,14.5,28.53,31.7,650.29
2025-09-20,Cox's Bazar,Chattogram,21.176647,92.003505,28.99,79,1005,3.44,98,0.0,1,2.15,4.8,41.77,0.03,0.04,100.57
2025-09-20,Cumilla,Chattogram,23.461061,91.180875,32.22,66,1005,1.47,100,0.0,2,20.3,22.62,52.53,2.58,1.16,204.84
2025-09-20,Dhaka,Dhaka,23.764386,90.389014,32.98,70,1005,1.03,75,0.0,3,40.53,43.13,41.77,9.17,2.98,316.55
2025-09-20,Dinajpur,Rangpur,25.626071,88.634623,33.06,57,1005,0.27,67,0.0,5,88.93,94.99,0.27,31.24,15.53,655.4
2025-09-20,Faridpur,Dhaka,23.604018,89.841554,30.37,71,1005,2.32,99,0.0,3,43.03,45.71,39.5,11.74,5.07,361.9
2025-09-20,Feni,Chattogram,23.01276,91.404923,32.17,67,1004,1.9,100,0.0,2,11.31,13.16,53.95,1.16,0.5,158.01
2025-09-20,Gaibandha,Rangpur,25.086001,89.869644,33.55,58,1005,1.29,65,0.0,5,78.16,82.48,23.57,19.61,4.83,546.62
2025-09-20,Gazipur,Dhaka,23.999756,90.417363,33.01,70,1005,1.03,75,0.0,3,49.23,52.91,37.38,9.87,2.92,348.86
2025-09-20,Gopalganj,Dhaka,23.004994,89.830318,28.24,74,1005,2.2,100,0.0,3,30.04,32.65,55.84,5.68,4.43,266.95
2025-09-20,Habiganj,Sylhet,24.374603,91.414027,34.0,60,1004,0.17,68,0.0,3,31.74,34.59,73.11,3.68,4.11,257.42
2025-09-20,Jamalpur,Mymensingh,24.925587,89.943668,32.86,61,1005,0.73,44,0.0,5,88.76,93.37,43.18,18.62,4.72,563.55
2025-09-20,Jashore,Khulna,23.166526,89.209442,31.74,68,1005,0.85,94,0.0,3,46.39,50.92,45.3,11.77,11.02,375.79
2025-09-20,Jhalokathi,Barishal,22.56239,90.174282,31.63,64,1005,1.76,100,0.0,2,12.77,15.59,67.74,0.27,0.4,166.93
2025-09-20,Jhenaidah,Khulna,23.544696,89.173194,30.97,70,1005,1.65,100,0.0,4,61.54,69.17,29.64,20.47,21.08,498.34
2025-09-20,Joypurhat,Rajshahi,25.111402,88.98842,33.37,58,1005,0.44,74,0.0,5,114.82,120.34,4.4,40.68,30.0,651.33
2025-09-20,Khagrachhari,Chattogram,23.1078,91.988996,31.99,70,1004,1.74,69,0.0,1,6.46,7.76,56.1,0.38,0.19,133.68
2025-09-20,Khulna,Khulna,22.937209,89.285274,31.0,72,1005,1.09,100,0.0,3,43.62,47.71,52.88,7.69,7.09,361.87
2025-09-20,Kishoreganj,Dhaka,24.433982,90.785723,33.34,58,1004,1.01,72,0.0,4,55.19,59.34,76.05,5.34,1.62,391.22
2025-09-20,Kurigram,Rangpur,25.813013,89.643052,31.45,62,1005,1.71,45,0.0,4,60.67,63.69,7.65,25.46,2.71,523.87
2025-09-20,Kushtia,Khulna,23.898795,89.129554,32.45,62,1005,0.49,77,0.0,5,76.07,86.5,15.94,26.58,26.77,646.29
2025-09-20,Lakshmipur,Chattogram,22.944537,90.827635,31.23,66,1005,2.96,94,0.0,2,10.75,12.55,60.99,0.78,0.5,151.3
