date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2026-09-19,Bagerhat,Khulna,22.655478,89.794181,32.25,64,1006,1.32,90,0.0,2,8.91,11.35,60.45,0.14,0.35,146.86
2026-09-19,Bandarban,Chattogram,21.787476,92.412475,29.86,84,1007,1.18,100,0.0,2,6.57,7.75,73.87,0.45,0.24,131.84
2026-09-19,Barguna,Barishal,22.131336,90.117243,31.83,64,1007,2.9,76,0.0,1,1.34,2.44,46.49,0.01,0.01,117.09
2026-09-19,Barishal,Barishal,22.493403,90.354801,33.5,55,1006,1.51,91,0.0,1,4.05,5.96,50.51,0.04,0.07,121.25
2026-09-19,Bhola,Barishal,22.143569,90.790409,31.42,65,1007,1.64,40,0.0,1,1.52,2.97,43.23,0.01,0.01,109.99
2026-09-19,Bogura,Rajshahi,24.850066,89.372843,34.44,49,1006,2.6,12,0.0,4,53.18,59.4,109.05,4.95,4.4,414.91
2026-09-19,Brahmanbaria,Chattogram,23.9606,91.119089,35.06,63,1006,3.09,99,0.0,3,37.39,43.47,89.65,1.91,2.45,259.37
2026-09-19,Chandpur,Chattogram,23.224176,90.6531,33.48,57,1006,0.91,59,0.0,2,13.69,15.86,45.75,1.11,0.7,175.41
2026-09-19,Chapai Nawabganj,Rajshahi,24.599887,88.285047,33.69,54,1006,1.4,76,0.0,4,73.82,77.51,91.74,5.83,9.42,410.55
2026-09-19,Chattogram,Chattogram,22.333778,91.834435,33.93,55,1006,5.14,91,8.18,2,9.14,11.86,79.07,0.34,0.62,132.9
2026-09-19,Chuadanga,Khulna,23.643661,88.846448,32.04,66,1007,1.37,84,0.0,5,110.97,134.58,21.33,33.99,29.21,1044.53
2026-09-19,Cox's Bazar,Chattogram,21.176647,92.003505,29.26,77,1007,0.87,100,0.3,1,2.22,3.05,47.41,0.18,0.04,115.7
2026-09-19,Cumilla,Chattogram,23.461061,91.180875,33.96,58,1006,1.77,73,0.0,2,22.95,26.92,68.62,1.22,1.16,209.62
2026-09-19,Dhaka,Dhaka,23.764386,90.389014,33.98,59,1006,2.57,15,0.0,3,27.65,30.86,60.26,3.9,1.64,261.26
2026-09-19,Dinajpur,Rangpur,25.626071,88.634623,33.42,54,1007,1.79,9,0.0,4,66.37,73.62,101.41,6.74,6.18,503.51
2026-09-19,Faridpur,Dhaka,23.604018,89.841554,32.88,59,1006,2.7,72,0.0,3,38.0,44.02,57.01,6.66,3.73,361.83
2026-09-19,Feni,Chattogram,23.01276,91.404923,33.7,61,1006,1.68,47,0.0,2,14.32,17.36,67.44,0.53,0.48,166.1
2026-09-19,Gaibandha,Rangpur,25.086001,89.869644,34.23,50,1006,1.39,8,0.0,3,42.0,44.63,107.13,2.14,1.47,330.54
2026-09-19,Gazipur,Dhaka,23.999756,90.417363,34.01,59,1006,2.57,5,0.0,3,31.23,34.43,80.22,3.68,2.1,265.24
2026-09-19,Gopalganj,Dhaka,23.004994,89.830318,33.75,57,1006,0.51,69,0.0,2,23.73,26.85,44.61,1.86,2.01,230.65
