date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2026-08-05,Bagerhat,Khulna,22.655478,89.794181,32.31,68,1000,3.85,100,0.71,2,24.61,26.56,80.59,0.27,0.2,162.22
2026-08-05,Bandarban,Chattogram,21.787476,92.412475,25.19,98,1004,1.24,100,0.72,1,7.35,9.52,53.52,0.09,0.12,98.66
2026-08-05,Barguna,Barishal,22.131336,90.117243,31.36,69,1001,5.78,100,0.0,2,21.22,23.73,74.97,0.13,0.2,149.43
2026-08-05,Barishal,Barishal,22.493403,90.354801,30.41,73,1001,3.96,100,0.38,2,20.44,22.53,74.13,0.17,0.15,145.04
2026-08-05,Bhola,Barishal,22.143569,90.790409,27.74,85,1002,4.76,100,0.52,2,17.44,20.0,69.68,0.12,0.17,134.97
2026-08-05,Bogura,Rajshahi,24.850066,89.372843,26.86,91,1001,3.15,100,0.0,3,37.35,40.97,30.15,18.67,11.67,445.65
2026-08-05,Brahmanbaria,Chattogram,23.9606,91.119089,29.4,80,1001,1.39,100,0.13,2,10.55,12.46,42.45,2.06,0.69,164.14
2026-08-05,Chandpur,Chattogram,23.224176,90.6531,31.66,68,1001,3.7,100,0.0,2,14.32,15.57,46.24,1.11,0.36,133.64
2026-08-05,Chapai Nawabganj,Rajshahi,24.599887,88.285047,28.0,87,1000,2.85,100,0.37,3,43.02,47.51,3.63,24.5,21.63,456.67
2026-08-05,Chattogram,Chattogram,22.333778,91.834435,27.72,85,1002,5.22,100,1.78,1,9.01,10.13,58.0,0.05,0.1,103.48
2026-08-05,Chuadanga,Khulna,23.643661,88.846448,30.16,83,1000,2.33,100,0.0,4,51.24,59.7,29.25,23.55,25.7,614.62
2026-08-05,Cox's Bazar,Chattogram,21.176647,92.003505,26.98,88,1003,5.81,100,0.0,1,9.43,12.3,54.7,0.07,0.19,97.16
2026-08-05,Cumilla,Chattogram,23.461061,91.180875,30.44,75,1001,3.61,100,0.82,2,11.3,12.74,49.1,1.24,0.4,138.56
2026-08-05,Dhaka,Dhaka,23.764386,90.389014,28.21,85,1001,2.09,100,1.54,2,15.98,17.3,48.33,2.89,1.58,171.02
2026-08-05,Dinajpur,Rangpur,25.626071,88.634623,26.47,91,1001,3.3,100,0.19,4,53.58,58.83,6.15,24.01,20.61,619.1
2026-08-05,Faridpur,Dhaka,23.604018,89.841554,30.15,78,1000,2.5,100,5.62,2,22.01,24.1,50.05,6.34,5.36,245.62
2026-08-05,Feni,Chattogram,23.01276,91.404923,30.45,72,1002,5.59,94,4.86,1,9.92,11.07,56.62,0.36,0.12,114.26
2026-08-05,Gaibandha,Rangpur,25.086001,89.869644,27.11,86,1001,2.78,100,1.15,3,27.39,31.81,28.23,10.27,2.24,327.33
2026-08-05,Gazipur,Dhaka,23.999756,90.417363,27.88,88,1001,2.23,100,0.56,2,14.47,16.22,45.32,2.94,1.43,175.84
2026-08-05,Gopalganj,Dhaka,23.004994,89.830318,32.38,65,1000,2.23,100,1.41,2,21.24,22.73,63.69,1.74,1.85,174.98
2026-08-05,Habiganj,Sylhet,24.374603,91.414027,27.93,84,1001,1.4,100,1.26,1,9.3,10.69,43.75,2.93,2.03,164.63
2026-08-05,Jamalpur,Mymensingh,24.925587,89.943668,27.66,85,1001,3.03,100,1.33,3,25.71,29.42,32.12,10.42,2.84,316.66
2026-08-05,Jashore,Khulna,23.166526,89.209442,31.89,75,1000,2.36,87,3.65,3,30.43,32.8,67.22,4.52,5.06,262.59
2026-08-05,Jhalokathi,Barishal,22.56239,90.174282,31.39,68,1001,3.32,100,0.85,2,21.66,23.75,76.27,0.19,0.17,150.39
2026-08-05,Jhenaidah,Khulna,23.544696,89.173194,31.08,76,1000,1.25,98,4.86,3,40.34,45.48,45.99,13.76,14.78,439.52
2026-08-05,Joypurhat,Rajshahi,25.111402,88.98842,26.87,90,1001,3.58,100,0.1,4,50.0,54.45,14.85,26.56,27.9,544.17
2026-08-05,Khagrachhari,Chattogram,23.1078,91.988996,26.24,98,1002,1.51,100,0.18,1,6.87,7.3,55.16,0.13,0.05,104.69
2026-08-05,Khulna,Khulna,22.937209,89.285274,31.62,77,1000,2.65,100,1.78,3,29.5,31.55,75.46,2.52,2.69,222.97
2026-08-05,Kishoreganj,Dhaka,24.433982,90.785723,28.21,81,1001,2.26,100,0.22,2,10.1,11.92,50.37,3.31,0.74,184.97
2026-08-05,Kurigram,Rangpur,25.813013,89.643052,26.43,90,1002,2.62,100,0.21,3,33.34,40.37,14.45,14.54,2.88,531.81
2026-08-05,Kushtia,Khulna,23.898795,89.129554,29.0,85,1000,2.4,100,0.32,3,49.0,57.85,26.11,25.71,27.48,632.54
2026-08-05,Lakshmipur,Chattogram,22.944537,90.827635,31.2,69,1001,5.05,98,0.0,2,15.49,17.2,61.07,0.39,0.17,128.01
2026-08-05,Lalmonirhat,Rangpur,25.916351,89.446139,26.58,90,1002,3.33,100,0.13,3,38.26,45.74,12.47,16.93,3.56,602.48
2026-08-05,Madaripur,Dhaka,23.167518,90.204727,32.13,67,1000,2.72,100,0.51,2,17.64,18.92,58.78,0.8,0.48,142.77
2026-08-05,Magura,Khulna,23.488077,89.420182,31.11,73,1000,0.71,98,3.76,3,29.12,32.2,55.86,8.68,9.2,320.02
2026-08-05,Manikganj,Dhaka,23.832984,89.966688,30.15,74,1001,3.34,100,6.48,2,22.89,25.39,47.0,8.26,6.7,276.25
2026-08-05,Meherpur,Khulna,23.781785,88.636937,29.58,86,1000,2.42,100,4.34,3,46.15,53.13,28.75,19.22,18.69,547.64
2026-08-05,Moulvibazar,Sylhet,24.488082,91.763018,26.76,91,1002,0.32,100,0.13,1,8.84,10.13,42.61,2.94,1.79,164.47
2026-08-05,Munshiganj,Dhaka,23.54838,90.534972,30.71,71,1001,0.83,95,0.0,2,14.97,16.3,47.49,1.72,0.82,150.35
2026-08-05,Mymensingh,Mymensingh,24.888931,90.384519,27.72,84,1001,2.47,100,1.0,2,18.1,21.54,34.99,7.07,1.54,254.32
2026-08-05,Naogaon,Rajshahi,24.807323,88.944545,27.53,87,1001,4.61,100,0.0,3,49.19,54.27,14.35,27.29,25.34,587.87
2026-08-05,Narail,Khulna,25.074884,90.391651,27.18,87,1001,1.6,100,0.87,2,19.57,23.91,30.13,7.69,1.54,273.33
2026-08-05,Narayanganj,Dhaka,23.623673,90.498807,30.06,74,1001,1.01,97,0.16,2,14.72,16.26,46.4,2.33,1.12,163.1
2026-08-05,Narsingdi,Dhaka,23.919715,90.715298,28.73,82,1001,1.45,100,0.11,2,13.03,15.03,43.58,2.1,0.8,165.93
2026-08-05,Natore,Rajshahi,24.413185,88.986668,28.2,87,1001,4.25,100,0.73,3,47.55,53.89,13.33,28.74,20.21,675.46
2026-08-05,Netrokona,Mymensingh,24.891567,90.712533,27.24,85,1001,1.55,100,0.75,1,8.61,10.67,46.67,4.34,0.94,187.65
2026-08-05,Nilphamari,Rangpur,25.933927,88.853459,26.08,94,1002,3.84,100,0.42,4,50.13,54.33,9.64,25.26,18.43,609.87
2026-08-05,Noakhali,Chattogram,22.25408,91.17144,27.23,89,1002,5.97,100,2.82,2,14.79,16.82,64.72,0.09,0.13,120.78
2026-08-05,Pabna,Rajshahi,24.006808,89.244834,28.8,85,1001,2.7,100,0.58,3,39.97,46.14,32.67,20.93,18.16,525.41
2026-08-05,Panchagarh,Rangpur,26.320945,88.547114,24.27,98,1002,4.27,100,0.15,3,46.68,51.69,6.11,19.07,6.27,692.8
2026-08-05,Patuakhali,Barishal,22.008424,90.382683,30.01,76,1001,5.31,100,0.52,2,19.96,22.49,73.21,0.13,0.19,144.61
2026-08-05,Pirojpur,Barishal,22.50956,90.00725,32.15,66,1000,3.9,100,1.03,2,21.66,23.75,76.27,0.19,0.17,150.39
2026-08-05,Rajbari,Dhaka,23.739837,89.570413,29.13,83,1000,2.4,100,3.76,3,31.53,35.6,49.65,12.12,11.99,378.8
2026-08-05,Rajshahi,Rajshahi,24.628543,89.037686,27.74,87,1001,4.85,100,0.26,3,42.76,47.68,21.58,24.05,17.37,553.72
2026-08-05,Rangamati,Chattogram,22.650921,92.181433,26.34,95,1003,1.99,100,0.12,1,7.13,7.67,55.83,0.6,0.08,109.63
2026-08-05,Rangpur,Rangpur,25.637614,89.082638,26.76,91,1002,3.37,100,0.1,3,49.64,56.22,6.46,23.14,17.57,614.72
2026-08-05,Satkhira,Khulna,22.716651,89.074986,32.29,77,1000,3.13,100,0.19,3,31.17,32.63,85.02,0.75,0.42,198.56
2026-08-05,Shariatpur,Dhaka,23.213284,90.348125,31.6,69,1001,3.13,100,0.0,2,16.12,17.1,50.89,1.1,0.66,141.53
2026-08-05,Sherpur,Mymensingh,25.022837,90.014974,27.25,85,1001,2.73,100,1.33,3,25.42,30.83,22.81,9.1,1.8,315.42
2026-08-05,Sirajganj,Rajshahi,24.457224,89.705705,27.96,84,1001,3.28,100,0.0,3,27.0,30.04,37.97,14.3,6.16,358.52
2026-08-05,Sunamganj,Sylhet,25.067103,91.398582,25.68,93,1002,1.66,100,0.0,2,18.54,22.4,28.41,14.41,10.95,309.68
2026-08-05,Sylhet,Sylhet,24.89922,91.868527,27.4,87,1001,0.95,100,0.27,2,10.05,11.83,38.04,5.33,1.31,193.42
2026-08-05,Tangail,Dhaka,24.273851,89.937591,27.73,87,1001,2.84,100,1.78,2,22.53,24.9,42.29,9.89,4.93,288.92
2026-08-05,Thakurgaon,Rangpur,23.773143,90.359163,28.12,86,1001,2.23,100,1.54,2,15.98,17.3,48.33,2.89,1.58,171.02
