date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-12-27,Bagerhat,Khulna,22.655478,89.794181,24.02,38,1015,2.61,0,0.0,5,229.68,243.86,164.38,6.13,35.59,824.86
2025-12-27,Bandarban,Chattogram,21.787476,92.412475,28.05,31,1013,1.23,1,0.0,5,94.85,99.8,132.87,0.85,3.61,369.74
2025-12-27,Barguna,Barishal,22.131336,90.117243,23.35,38,1015,2.36,0,0.0,5,166.35,174.38,146.16,0.84,5.26,588.97
2025-12-27,Barishal,Barishal,22.493403,90.354801,23.82,36,1015,2.42,0,0.0,5,182.22,191.07,144.45,1.17,10.81,624.17
2025-12-27,Bhola,Barishal,22.143569,90.790409,19.88,57,1015,0.96,0,0.0,5,149.19,156.33,143.21,0.7,3.54,526.65
2025-12-27,Bogura,Rajshahi,24.850066,89.372843,22.75,45,1015,1.78,0,0.0,5,233.34,255.38,107.61,8.7,12.36,1090.49
2025-12-27,Brahmanbaria,Chattogram,23.9606,91.119089,16.06,94,1015,0.0,40,0.0,5,220.57,235.51,114.63,3.28,5.82,851.99
2025-12-27,Chandpur,Chattogram,23.224176,90.6531,22.46,45,1015,1.59,0,0.0,5,237.16,250.25,113.91,2.49,9.71,795.78
2025-12-27,Chapai Nawabganj,Rajshahi,24.599887,88.285047,22.21,43,1016,2.02,0,0.0,5,201.14,221.72,113.46,12.84,20.3,1065.46
2025-12-27,Chattogram,Chattogram,22.333778,91.834435,21.93,60,1014,4.12,20,0.0,5,117.5,123.18,140.73,0.81,5.82,425.74
2025-12-27,Chuadanga,Khulna,23.643661,88.846448,22.04,44,1015,2.29,0,0.0,5,267.45,305.5,105.72,27.92,37.23,1560.23
2025-12-27,Cox's Bazar,Chattogram,21.176647,92.003505,20.87,69,1014,3.7,7,0.0,5,96.67,101.41,133.79,0.43,2.52,357.21
2025-12-27,Cumilla,Chattogram,23.461061,91.180875,23.71,42,1015,1.7,0,0.0,5,214.36,227.48,117.9,2.4,5.78,785.44
2025-12-27,Dhaka,Dhaka,23.764386,90.389014,19.98,73,1015,0.0,40,0.0,5,264.14,280.79,108.62,4.65,12.31,995.11
2025-12-27,Dinajpur,Rangpur,25.626071,88.634623,21.91,47,1015,2.35,0,0.0,5,214.84,235.6,122.99,7.14,12.05,1028.53
2025-12-27,Faridpur,Dhaka,23.604018,89.841554,22.4,49,1015,2.91,0,0.0,5,279.39,299.92,114.99,8.23,18.57,1141.98
2025-12-27,Feni,Chattogram,23.01276,91.404923,23.94,44,1014,1.3,0,0.0,5,185.54,195.52,132.66,1.49,5.69,664.32
2025-12-27,Gaibandha,Rangpur,25.086001,89.869644,23.27,48,1015,0.69,0,0.0,5,232.83,251.82,96.77,5.62,8.73,1023.68
2025-12-27,Gazipur,Dhaka,23.999756,90.417363,20.0,73,1015,0.0,40,0.0,5,257.99,275.01,101.53,4.68,7.45,990.77
2025-12-27,Gopalganj,Dhaka,23.004994,89.830318,23.38,43,1015,3.08,0,0.0,5,258.68,275.43,139.9,6.35,27.96,959.74
2025-12-27,Habiganj,Sylhet,24.374603,91.414027,24.15,46,1015,1.09,0,0.0,5,210.14,227.59,126.9,5.49,5.59,932.54
2025-12-27,Jamalpur,Mymensingh,24.925587,89.943668,23.03,49,1015,1.06,0,0.0,5,239.04,258.47,95.25,6.13,8.83,1052.11
2025-12-27,Jashore,Khulna,23.166526,89.209442,22.7,44,1015,2.96,0,0.0,5,282.48,309.38,150.42,17.39,41.76,1279.87
