date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2026-09-26,Bagerhat,Khulna,22.655478,89.794181,29.81,77,1006,4.35,45,0.0,2,7.6,12.84,69.67,0.13,0.22,138.34
2026-09-26,Bandarban,Chattogram,21.787476,92.412475,29.09,81,1007,1.29,36,0.11,1,2.34,5.21,38.27,0.06,0.05,82.41
2026-09-26,Barguna,Barishal,22.131336,90.117243,29.34,79,1007,4.22,15,0.0,2,6.61,11.06,62.77,0.1,0.17,121.7
2026-09-26,Barishal,Barishal,22.493403,90.354801,30.19,72,1006,4.35,48,0.0,1,5.5,9.35,56.72,0.09,0.13,107.96
2026-09-26,Bhola,Barishal,22.143569,90.790409,29.75,76,1007,4.6,20,0.0,1,4.4,7.52,54.2,0.08,0.11,101.43
2026-09-26,Bogura,Rajshahi,24.850066,89.372843,32.18,61,1005,2.74,17,0.0,2,12.45,15.27,52.89,3.53,3.38,166.03
2026-09-26,Brahmanbaria,Chattogram,23.9606,91.119089,35.06,55,1006,3.09,67,0.0,1,3.56,6.47,34.84,0.97,0.5,103.35
2026-09-26,Chandpur,Chattogram,23.224176,90.6531,31.4,71,1006,3.96,0,0.0,1,4.11,6.76,42.79,0.31,0.29,95.94
2026-09-26,Chapai Nawabganj,Rajshahi,24.599887,88.285047,30.23,73,1006,4.88,55,1.28,3,40.84,47.66,86.97,6.26,9.81,297.61
2026-09-26,Chattogram,Chattogram,22.333778,91.834435,31.93,70,1007,5.14,18,0.0,1,3.43,7.6,41.11,0.05,0.09,85.66
2026-09-26,Chuadanga,Khulna,23.643661,88.846448,28.8,83,1006,4.63,41,1.44,2,23.05,34.17,64.15,9.97,13.34,315.91
2026-09-26,Cox's Bazar,Chattogram,21.176647,92.003505,29.02,76,1007,3.6,32,0.0,1,4.33,10.96,44.34,0.06,0.1,88.59
2026-09-26,Cumilla,Chattogram,23.461061,91.180875,32.73,67,1006,3.02,21,0.0,1,3.7,7.06,38.29,0.47,0.29,95.24
2026-09-26,Dhaka,Dhaka,23.764386,90.389014,31.98,62,1006,3.6,13,0.0,1,4.77,7.24,38.06,1.65,0.59,116.01
2026-09-26,Dinajpur,Rangpur,25.626071,88.634623,31.3,68,1006,2.72,28,0.0,2,11.8,14.02,49.75,6.08,7.0,162.29
2026-09-26,Faridpur,Dhaka,23.604018,89.841554,31.02,70,1006,3.26,39,0.26,1,5.89,8.56,43.6,2.03,1.4,129.58
2026-09-26,Feni,Chattogram,23.01276,91.404923,30.3,79,1007,3.59,7,0.0,1,3.41,7.06,38.76,0.12,0.11,86.1
2026-09-26,Gaibandha,Rangpur,25.086001,89.869644,31.87,66,1006,1.82,55,0.0,1,8.05,10.25,46.85,2.22,0.8,136.32
2026-09-26,Gazipur,Dhaka,23.999756,90.417363,32.01,62,1006,3.6,58,0.0,1,5.26,8.46,32.71,2.06,0.75,122.11
2026-09-26,Gopalganj,Dhaka,23.004994,89.830318,30.58,73,1006,3.35,78,0.0,1,6.01,9.44,54.43,0.43,0.56,117.01
2026-09-26,Habiganj,Sylhet,24.374603,91.414027,32.82,68,1006,2.32,59,0.0,1,4.39,7.12,41.65,1.96,1.36,122.52
2026-09-26,Jamalpur,Mymensingh,24.925587,89.943668,32.29,65,1006,1.33,26,0.0,1,7.69,9.89,46.49,2.36,0.9,136.36
2026-09-26,Jashore,Khulna,23.166526,89.209442,29.31,83,1006,4.69,28,0.28,2,10.53,16.56,68.65,1.41,2.3,163.72
