date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2026-05-01,Bagerhat,Khulna,22.655478,89.794181,28.46,66,1006,1.54,99,0.0,2,10.58,17.7,62.32,0.43,2.89,156.47
2026-05-01,Bandarban,Chattogram,21.787476,92.412475,27.32,68,1008,1.16,100,0.0,1,1.39,2.8,20.39,0.06,0.61,96.65
2026-05-01,Barguna,Barishal,22.131336,90.117243,27.75,74,1006,7.22,100,0.0,1,7.09,13.56,45.01,0.08,2.41,123.81
2026-05-01,Barishal,Barishal,22.493403,90.354801,28.98,64,1006,4.34,100,0.0,1,5.85,10.46,46.01,0.18,2.44,131.57
2026-05-01,Bhola,Barishal,22.143569,90.790409,26.81,78,1006,5.55,100,0.0,1,3.44,6.11,33.76,0.1,1.97,109.16
2026-05-01,Bogura,Rajshahi,24.850066,89.372843,30.36,53,1005,4.48,99,0.0,3,29.91,35.03,67.36,10.72,10.44,345.92
2026-05-01,Brahmanbaria,Chattogram,23.9606,91.119089,23.06,100,1006,3.6,75,0.0,1,4.4,6.37,25.94,2.12,2.62,172.3
2026-05-01,Chandpur,Chattogram,23.224176,90.6531,28.93,55,1006,3.2,100,0.0,1,3.29,4.17,31.32,1.08,2.01,145.1
2026-05-01,Chapai Nawabganj,Rajshahi,24.599887,88.285047,32.66,38,1004,2.84,96,0.0,5,121.01,132.97,169.4,5.62,24.52,494.09
2026-05-01,Chattogram,Chattogram,22.333778,91.834435,28.93,61,1007,4.63,75,0.0,1,2.13,4.58,21.4,0.04,0.95,95.46
2026-05-01,Chuadanga,Khulna,23.643661,88.846448,31.63,36,1005,3.0,7,0.0,5,84.13,101.26,126.25,17.14,34.02,604.42
2026-05-01,Cox's Bazar,Chattogram,21.176647,92.003505,26.89,71,1008,5.37,100,0.0,1,2.3,6.6,19.92,0.08,0.61,92.39
2026-05-01,Cumilla,Chattogram,23.461061,91.180875,29.02,54,1006,3.15,100,0.0,1,3.46,4.86,26.06,1.39,2.01,149.28
2026-05-01,Dhaka,Dhaka,23.764386,90.389014,25.98,78,1005,2.57,75,0.0,1,6.36,8.19,37.22,2.93,2.86,191.09
2026-05-01,Dinajpur,Rangpur,25.626071,88.634623,29.48,51,1005,1.84,100,0.0,3,46.57,52.86,81.44,13.48,17.39,348.39
2026-05-01,Faridpur,Dhaka,23.604018,89.841554,31.04,43,1005,4.15,47,0.0,2,14.14,19.19,34.96,6.82,6.65,306.82
2026-05-01,Feni,Chattogram,23.01276,91.404923,28.4,64,1006,4.94,100,0.0,1,2.39,3.58,24.07,0.52,1.58,118.01
2026-05-01,Gaibandha,Rangpur,25.086001,89.869644,30.09,53,1005,4.39,100,0.0,2,12.09,14.7,54.27,4.26,1.88,243.88
2026-05-01,Gazipur,Dhaka,23.999756,90.417363,26.01,78,1006,2.57,75,0.0,1,6.3,8.24,33.72,3.12,2.8,198.11
2026-05-01,Gopalganj,Dhaka,23.004994,89.830318,30.02,57,1005,3.68,100,0.0,2,11.7,17.52,45.54,2.42,4.23,237.68
2026-05-01,Habiganj,Sylhet,24.374603,91.414027,24.28,76,1007,2.44,100,0.29,1,4.66,6.27,33.49,2.62,3.52,183.35
2026-05-01,Jamalpur,Mymensingh,24.925587,89.943668,29.86,54,1005,4.55,100,0.0,2,12.49,15.1,53.39,5.27,2.3,254.48
2026-05-01,Jashore,Khulna,23.166526,89.209442,30.72,51,1005,3.01,1,0.0,3,31.07,41.97,67.12,5.71,10.15,382.42
