date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2026-08-14,Bagerhat,Khulna,22.655478,89.794181,32.54,64,1001,5.34,100,0.0,2,13.92,16.04,55.03,1.21,0.36,172.31
2026-08-14,Bandarban,Chattogram,21.787476,92.412475,28.86,91,1003,2.03,99,1.71,2,10.92,11.73,60.96,0.21,0.08,126.46
2026-08-14,Barguna,Barishal,22.131336,90.117243,31.32,69,1001,6.85,100,0.14,2,18.03,20.51,60.7,0.72,0.41,162.98
2026-08-14,Barishal,Barishal,22.493403,90.354801,32.16,65,1001,7.1,100,0.0,2,17.44,19.75,63.75,0.65,0.27,163.33
2026-08-14,Bhola,Barishal,22.143569,90.790409,29.13,82,1002,9.42,98,0.0,2,17.44,20.93,63.7,0.49,0.3,149.67
2026-08-14,Bogura,Rajshahi,24.850066,89.372843,33.64,59,1001,5.83,81,0.19,2,13.39,14.82,48.33,6.06,3.84,235.69
2026-08-14,Brahmanbaria,Chattogram,23.9606,91.119089,34.06,62,1003,2.57,77,0.11,2,15.51,16.42,61.32,1.19,0.41,163.01
2026-08-14,Chandpur,Chattogram,23.224176,90.6531,31.57,69,1002,7.25,100,0.0,2,17.41,18.27,64.31,0.59,0.33,162.51
2026-08-14,Chapai Nawabganj,Rajshahi,24.599887,88.285047,33.96,57,1000,6.74,99,0.1,2,21.99,25.02,8.01,22.65,13.14,456.62
2026-08-14,Chattogram,Chattogram,22.333778,91.834435,30.14,78,1002,6.59,100,0.69,2,14.21,15.35,67.25,0.23,0.1,135.34
2026-08-14,Chuadanga,Khulna,23.643661,88.846448,31.99,69,1000,5.46,100,0.26,2,22.85,28.87,15.67,19.14,18.49,429.32
2026-08-14,Cox's Bazar,Chattogram,21.176647,92.003505,27.92,85,1003,9.08,100,0.0,2,10.65,12.79,59.04,0.32,0.19,126.75
2026-08-14,Cumilla,Chattogram,23.461061,91.180875,32.41,64,1002,6.06,99,0.0,2,16.07,17.0,65.72,0.71,0.26,156.78
2026-08-14,Dhaka,Dhaka,23.764386,90.389014,32.32,65,1002,6.07,100,0.5,2,13.59,14.37,54.37,1.91,0.54,183.28
2026-08-14,Dinajpur,Rangpur,25.626071,88.634623,34.37,54,1001,5.47,100,0.0,2,16.05,18.04,58.61,6.6,8.12,217.58
2026-08-14,Faridpur,Dhaka,23.604018,89.841554,32.17,67,1001,6.2,100,0.18,2,12.32,13.46,47.44,3.44,2.12,207.41
2026-08-14,Feni,Chattogram,23.01276,91.404923,31.86,67,1002,6.69,100,0.0,2,15.59,16.65,70.83,0.38,0.14,144.89
2026-08-14,Gaibandha,Rangpur,25.086001,89.869644,33.34,59,1001,5.17,97,0.0,2,12.03,13.12,57.45,3.06,0.78,193.2
2026-08-14,Gazipur,Dhaka,23.999756,90.417363,32.22,65,1002,5.87,98,0.45,2,15.37,16.37,54.04,2.05,0.65,183.87
2026-08-14,Gopalganj,Dhaka,23.004994,89.830318,32.04,66,1001,5.66,100,0.3,2,12.64,13.77,54.52,1.59,0.99,178.06
2026-08-14,Habiganj,Sylhet,24.374603,91.414027,34.04,60,1002,3.48,62,0.0,2,10.91,11.82,64.57,1.46,1.22,153.82
2026-08-14,Jamalpur,Mymensingh,24.925587,89.943668,32.72,62,1001,5.11,97,0.0,2,12.98,14.12,55.25,3.47,0.92,200.8
2026-08-14,Jashore,Khulna,23.166526,89.209442,32.74,67,1000,5.59,100,0.26,2,12.6,14.67,40.08,5.52,4.05,228.12
2026-08-14,Jhalokathi,Barishal,22.56239,90.174282,32.4,62,1001,6.58,100,0.1,2,17.38,19.56,61.92,0.76,0.3,167.94
2026-08-14,Jhenaidah,Khulna,23.544696,89.173194,32.73,66,1000,5.12,100,0.18,2,17.2,21.15,25.34,12.52,10.89,333.51
2026-08-14,Joypurhat,Rajshahi,25.111402,88.98842,34.36,55,1001,5.53,86,0.11,2,12.09,13.73,44.67,8.33,8.64,241.35
2026-08-14,Khagrachhari,Chattogram,23.1078,91.988996,32.42,64,1002,2.53,100,0.17,2,14.38,15.22,71.2,0.45,0.21,139.72
2026-08-14,Khulna,Khulna,22.937209,89.285274,32.62,66,1001,5.56,99,0.0,2,12.39,14.4,44.59,3.96,2.39,206.61
2026-08-14,Kishoreganj,Dhaka,24.433982,90.785723,33.28,61,1002,4.97,100,0.0,2,14.54,15.91,58.95,2.62,1.02,183.39
2026-08-14,Kurigram,Rangpur,25.813013,89.643052,33.2,58,1002,4.28,94,0.0,1,9.21,10.44,57.42,3.61,1.19,181.43
2026-08-14,Kushtia,Khulna,23.898795,89.129554,32.32,65,1001,5.42,100,0.0,2,22.17,27.67,20.93,16.92,17.26,402.1
