date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2026-05-19,Bagerhat,Khulna,22.655478,89.794181,37.19,38,1000,6.22,40,0.0,2,9.48,32.8,53.41,0.21,0.43,142.34
2026-05-19,Bandarban,Chattogram,21.787476,92.412475,36.27,38,1001,2.52,68,0.0,1,4.31,14.5,42.89,0.03,0.11,133.48
2026-05-19,Barguna,Barishal,22.131336,90.117243,34.01,55,1002,6.51,10,0.0,2,7.45,30.2,48.71,0.04,0.27,134.1
2026-05-19,Barishal,Barishal,22.493403,90.354801,36.92,43,1001,7.34,4,0.0,2,8.12,31.1,48.61,0.08,0.27,135.53
2026-05-19,Bhola,Barishal,22.143569,90.790409,30.33,76,1003,4.6,7,0.0,2,7.32,28.93,46.5,0.04,0.24,133.61
2026-05-19,Bogura,Rajshahi,24.850066,89.372843,36.85,44,1000,6.11,39,0.0,5,81.93,100.12,171.05,3.4,13.72,328.43
2026-05-19,Brahmanbaria,Chattogram,23.9606,91.119089,35.06,59,1001,3.09,40,0.0,2,9.71,21.13,58.21,1.33,1.29,173.81
2026-05-19,Chandpur,Chattogram,23.224176,90.6531,33.5,58,1001,6.91,12,0.0,2,9.06,26.16,52.57,0.39,0.51,148.84
2026-05-19,Chapai Nawabganj,Rajshahi,24.599887,88.285047,42.03,24,998,2.0,0,0.0,5,124.18,139.21,192.12,6.42,44.99,492.4
2026-05-19,Chattogram,Chattogram,22.333778,91.834435,31.93,74,1003,5.14,75,0.0,1,5.43,19.27,44.02,0.02,0.14,135.34
2026-05-19,Chuadanga,Khulna,23.643661,88.846448,41.55,23,998,3.26,36,0.0,4,69.8,90.1,166.35,7.28,21.9,380.9
2026-05-19,Cox's Bazar,Chattogram,21.176647,92.003505,29.88,77,1003,7.15,4,0.0,1,5.31,18.63,42.39,0.02,0.16,133.44
2026-05-19,Cumilla,Chattogram,23.461061,91.180875,34.99,50,1001,5.4,73,0.0,2,8.34,22.42,52.97,0.69,0.69,157.71
2026-05-19,Dhaka,Dhaka,23.764386,90.389014,32.98,62,1000,2.57,75,0.0,2,21.96,35.58,93.49,1.3,2.97,186.64
2026-05-19,Dinajpur,Rangpur,25.626071,88.634623,34.35,56,1001,3.57,36,0.0,4,51.26,61.37,102.92,7.13,13.64,373.79
2026-05-19,Faridpur,Dhaka,23.604018,89.841554,38.98,34,999,3.5,24,0.0,3,34.18,49.96,119.48,1.63,5.84,217.32
2026-05-19,Feni,Chattogram,23.01276,91.404923,33.74,54,1002,4.34,10,0.0,2,6.32,20.76,47.94,0.19,0.22,143.73
2026-05-19,Gaibandha,Rangpur,25.086001,89.869644,35.28,52,1001,3.29,37,0.0,3,47.34,61.25,130.68,2.27,3.78,273.41
2026-05-19,Gazipur,Dhaka,23.999756,90.417363,33.01,62,1000,2.57,75,0.0,2,19.4,32.88,78.59,2.3,3.04,201.17
2026-05-19,Gopalganj,Dhaka,23.004994,89.830318,39.29,32,999,4.34,31,0.0,2,16.87,33.36,81.5,0.63,2.42,166.98
2026-05-19,Habiganj,Sylhet,24.374603,91.414027,35.57,49,1001,0.26,55,0.0,2,10.59,18.45,63.21,2.16,2.78,190.13
2026-05-19,Jamalpur,Mymensingh,24.925587,89.943668,33.95,56,1001,3.42,45,0.0,3,48.44,64.14,134.11,2.22,4.67,265.56
2026-05-19,Jashore,Khulna,23.166526,89.209442,42.23,23,998,4.61,16,0.0,2,22.26,40.95,89.47,1.55,4.84,195.25
2026-05-19,Jhalokathi,Barishal,22.56239,90.174282,37.17,42,1000,7.65,8,0.0,2,8.35,32.12,49.16,0.1,0.3,135.99
2026-05-19,Jhenaidah,Khulna,23.544696,89.173194,41.49,24,998,3.03,30,0.0,3,47.84,66.59,134.68,4.24,13.29,290.15
2026-05-19,Joypurhat,Rajshahi,25.111402,88.98842,38.05,41,1000,5.01,29,0.0,5,124.1,142.35,215.83,5.54,30.16,412.13
2026-05-19,Khagrachhari,Chattogram,23.1078,91.988996,37.62,38,1001,4.3,0,0.0,1,5.1,17.23,46.83,0.07,0.12,139.59
2026-05-19,Khulna,Khulna,22.937209,89.285274,41.02,25,999,6.94,24,0.0,2,16.71,36.97,74.67,0.94,2.75,173.94
2026-05-19,Kishoreganj,Dhaka,24.433982,90.785723,34.24,55,1001,3.88,67,0.0,2,22.91,37.77,95.29,1.59,1.92,194.94
2026-05-19,Kurigram,Rangpur,25.813013,89.643052,32.52,60,1002,2.05,10,0.0,2,16.64,22.36,59.36,5.66,2.37,271.75
2026-05-19,Kushtia,Khulna,23.898795,89.129554,40.77,26,998,3.15,37,0.0,5,77.87,100.06,176.68,7.49,22.87,402.51
