date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2026-09-07,Bagerhat,Khulna,22.655478,89.794181,30.62,71,1004,3.21,21,0.76,3,36.12,38.97,94.23,0.68,1.4,176.66
2026-09-07,Bandarban,Chattogram,21.787476,92.412475,28.59,89,1006,0.67,72,0.74,2,6.54,8.2,67.91,0.07,0.07,125.84
2026-09-07,Barguna,Barishal,22.131336,90.117243,30.35,68,1005,4.62,24,0.0,3,25.73,28.82,88.2,0.14,0.29,152.65
2026-09-07,Barishal,Barishal,22.493403,90.354801,31.23,62,1004,5.09,85,0.0,3,27.04,30.0,86.82,0.17,0.33,155.56
2026-09-07,Bhola,Barishal,22.143569,90.790409,29.88,76,1005,4.66,13,0.0,2,20.06,23.47,82.55,0.11,0.25,137.28
2026-09-07,Bogura,Rajshahi,24.850066,89.372843,30.4,73,1003,3.23,100,0.17,4,54.73,64.08,32.55,21.05,18.86,554.02
2026-09-07,Brahmanbaria,Chattogram,23.9606,91.119089,33.06,66,1003,3.09,76,0.21,3,25.41,28.15,46.78,1.91,0.8,213.07
2026-09-07,Chandpur,Chattogram,23.224176,90.6531,29.47,71,1004,4.42,24,0.0,3,28.18,29.55,67.94,0.58,0.38,174.16
2026-09-07,Chapai Nawabganj,Rajshahi,24.599887,88.285047,32.13,64,1003,1.48,68,0.0,5,96.36,103.9,0.36,32.71,53.96,877.9
2026-09-07,Chattogram,Chattogram,22.333778,91.834435,32.93,66,1004,5.66,10,0.0,2,9.98,11.62,71.49,0.06,0.08,127.15
2026-09-07,Chuadanga,Khulna,23.643661,88.846448,31.63,73,1003,3.03,32,0.0,4,64.14,81.74,27.52,26.84,27.15,732.81
2026-09-07,Cox's Bazar,Chattogram,21.176647,92.003505,28.83,78,1006,3.83,16,0.0,2,8.72,11.78,64.84,0.05,0.12,117.59
2026-09-07,Cumilla,Chattogram,23.461061,91.180875,29.9,70,1004,3.8,78,0.0,2,23.6,25.37,63.98,0.92,0.45,180.14
2026-09-07,Dhaka,Dhaka,23.764386,90.389014,28.98,79,1003,1.54,57,0.0,3,34.37,36.08,61.47,2.73,2.19,219.78
2026-09-07,Dinajpur,Rangpur,25.626071,88.634623,31.66,69,1003,1.41,88,0.0,4,56.68,66.08,15.57,19.51,19.87,620.81
2026-09-07,Faridpur,Dhaka,23.604018,89.841554,29.11,73,1004,3.82,23,0.6,3,43.91,48.73,61.73,6.19,7.16,310.27
2026-09-07,Feni,Chattogram,23.01276,91.404923,29.71,75,1005,3.92,8,0.0,2,17.89,19.24,74.85,0.2,0.14,146.9
2026-09-07,Gaibandha,Rangpur,25.086001,89.869644,31.59,63,1003,3.72,35,0.0,3,42.44,45.66,57.93,7.23,4.42,321.8
2026-09-07,Gazipur,Dhaka,23.999756,90.417363,29.01,79,1003,1.54,83,0.37,3,31.71,33.63,52.84,3.11,1.81,226.86
2026-09-07,Gopalganj,Dhaka,23.004994,89.830318,30.08,73,1004,3.69,32,2.05,3,39.69,42.17,74.13,1.64,2.66,205.6
2026-09-07,Habiganj,Sylhet,24.374603,91.414027,31.02,69,1004,2.68,42,0.28,2,18.82,21.49,57.96,2.53,1.91,204.42
