date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-12-30,Bagerhat,Khulna,22.655478,89.794181,23.32,25,1014,3.46,0,0.0,5,235.87,253.62,149.12,8.47,34.16,901.55
2025-12-30,Bandarban,Chattogram,21.787476,92.412475,27.11,25,1012,1.81,0,0.0,5,141.43,148.46,156.11,1.5,7.88,526.83
2025-12-30,Barguna,Barishal,22.131336,90.117243,23.04,27,1014,4.28,0,0.0,5,173.84,186.9,168.12,1.57,25.7,591.67
2025-12-30,Barishal,Barishal,22.493403,90.354801,23.35,26,1014,3.72,0,0.0,5,198.9,211.93,148.04,1.8,21.5,644.16
2025-12-30,Bhola,Barishal,22.143569,90.790409,19.59,48,1014,3.65,0,0.0,5,170.13,181.8,169.47,1.25,15.01,553.61
2025-12-30,Bogura,Rajshahi,24.850066,89.372843,19.91,39,1014,1.39,0,0.0,5,195.56,214.22,115.83,10.99,20.73,968.95
2025-12-30,Brahmanbaria,Chattogram,23.9606,91.119089,17.06,82,1014,2.06,75,0.0,5,216.68,232.35,116.26,3.56,13.31,795.23
2025-12-30,Chandpur,Chattogram,23.224176,90.6531,21.04,39,1014,2.94,0,0.0,5,210.23,223.94,121.0,2.9,17.08,722.6
2025-12-30,Chapai Nawabganj,Rajshahi,24.599887,88.285047,20.61,30,1014,3.32,0,0.0,5,219.34,240.58,118.93,16.75,39.57,1103.58
2025-12-30,Chattogram,Chattogram,22.333778,91.834435,21.93,78,1013,2.57,20,0.0,5,175.95,184.47,143.01,0.91,5.77,624.1
2025-12-30,Chuadanga,Khulna,23.643661,88.846448,20.78,30,1015,3.49,11,0.0,5,246.35,282.88,120.66,29.84,50.37,1450.82
2025-12-30,Cox's Bazar,Chattogram,21.176647,92.003505,21.89,51,1013,6.89,0,0.0,5,127.88,135.78,143.66,0.7,3.82,495.46
2025-12-30,Cumilla,Chattogram,23.461061,91.180875,21.52,42,1014,3.07,7,0.0,5,214.68,228.88,122.88,2.61,12.72,737.81
2025-12-30,Dhaka,Dhaka,23.764386,90.389014,20.78,37,1014,1.96,0,0.0,5,198.98,213.41,121.86,6.1,20.69,814.16
2025-12-30,Dinajpur,Rangpur,25.626071,88.634623,19.52,39,1014,1.57,0,0.0,5,167.96,184.34,126.22,8.86,17.07,910.36
2025-12-30,Faridpur,Dhaka,23.604018,89.841554,20.33,36,1014,3.08,1,0.0,5,201.38,218.88,127.34,10.61,27.2,923.4
2025-12-30,Feni,Chattogram,23.01276,91.404923,22.08,40,1014,3.09,1,0.0,5,205.24,216.8,139.08,1.54,8.94,678.42
