date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-12-08,Bagerhat,Khulna,22.655478,89.794181,26.12,38,1015,2.49,100,0.0,5,271.42,289.93,183.45,6.37,16.6,996.53
2025-12-08,Bandarban,Chattogram,21.787476,92.412475,28.07,29,1014,1.03,99,0.0,4,68.47,72.57,143.97,1.14,2.45,279.95
2025-12-08,Barguna,Barishal,22.131336,90.117243,25.98,41,1015,3.13,89,0.0,5,167.06,176.83,163.07,0.9,3.15,541.74
2025-12-08,Barishal,Barishal,22.493403,90.354801,26.25,40,1015,2.65,86,0.0,5,183.53,193.91,157.73,1.23,4.85,579.17
2025-12-08,Bhola,Barishal,22.143569,90.790409,22.79,57,1015,2.19,88,0.0,5,147.79,156.37,148.29,0.68,1.88,523.33
2025-12-08,Bogura,Rajshahi,24.850066,89.372843,25.13,40,1016,2.48,69,0.0,5,296.87,323.76,152.89,9.04,12.09,1184.4
2025-12-08,Brahmanbaria,Chattogram,23.9606,91.119089,26.06,47,1015,2.06,40,0.0,5,207.4,223.11,136.25,2.98,5.02,767.3
2025-12-08,Chandpur,Chattogram,23.224176,90.6531,24.92,45,1015,1.88,89,0.0,5,212.84,225.98,133.69,2.02,3.68,683.9
2025-12-08,Chapai Nawabganj,Rajshahi,24.599887,88.285047,24.81,30,1016,3.0,48,0.0,5,259.24,285.75,133.97,13.18,18.99,1125.84
2025-12-08,Chattogram,Chattogram,22.333778,91.834435,26.93,47,1015,3.09,40,0.0,5,111.14,117.02,144.25,1.06,3.0,408.92
2025-12-08,Chuadanga,Khulna,23.643661,88.846448,25.08,34,1016,2.6,81,0.0,5,343.65,397.01,154.64,39.88,48.48,1973.66
2025-12-08,Cox's Bazar,Chattogram,21.176647,92.003505,23.32,53,1014,4.12,95,0.0,5,78.22,83.98,143.28,0.7,2.38,316.03
2025-12-08,Cumilla,Chattogram,23.461061,91.180875,25.05,39,1015,1.81,99,0.0,5,199.24,212.69,136.96,2.12,4.05,702.02
2025-12-08,Dhaka,Dhaka,23.764386,90.389014,25.98,44,1015,2.06,20,0.0,5,238.95,254.47,140.85,3.92,6.29,815.12
2025-12-08,Dinajpur,Rangpur,25.626071,88.634623,24.4,45,1016,1.76,35,0.0,5,295.65,323.56,161.17,7.53,14.34,1127.82
2025-12-08,Faridpur,Dhaka,23.604018,89.841554,24.99,42,1016,3.27,100,0.0,5,270.37,290.68,151.95,7.04,11.16,1015.68
2025-12-08,Feni,Chattogram,23.01276,91.404923,25.02,40,1015,1.98,66,0.0,5,166.25,176.24,140.32,1.39,3.58,596.35
2025-12-08,Gaibandha,Rangpur,25.086001,89.869644,24.93,46,1016,1.44,78,0.0,5,281.27,302.25,144.91,4.74,6.15,1055.94
2025-12-08,Gazipur,Dhaka,23.999756,90.417363,26.01,44,1015,2.06,20,0.0,5,233.84,249.7,138.31,3.76,4.77,818.42
2025-12-08,Gopalganj,Dhaka,23.004994,89.830318,25.59,40,1015,2.81,93,0.0,5,245.68,262.56,161.81,5.28,11.99,877.71
2025-12-08,Habiganj,Sylhet,24.374603,91.414027,24.35,48,1015,1.36,95,0.0,5,184.1,201.36,141.91,5.63,6.57,793.14
2025-12-08,Jamalpur,Mymensingh,24.925587,89.943668,25.04,47,1016,0.95,85,0.0,5,281.66,302.96,145.22,5.24,6.56,1054.42
2025-12-08,Jashore,Khulna,23.166526,89.209442,25.2,36,1016,2.68,94,0.0,5,315.92,347.74,175.25,19.57,30.76,1433.73
2025-12-08,Jhalokathi,Barishal,22.56239,90.174282,26.22,40,1015,2.72,89,0.0,5,195.71,206.87,160.95,1.42,6.11,597.75
2025-12-08,Jhenaidah,Khulna,23.544696,89.173194,25.21,37,1016,2.55,99,0.0,5,339.68,384.89,158.32,32.02,40.35,1776.29
2025-12-08,Joypurhat,Rajshahi,25.111402,88.98842,24.83,43,1016,2.76,23,0.0,5,297.29,327.42,159.06,11.18,17.44,1230.71
2025-12-08,Khagrachhari,Chattogram,23.1078,91.988996,26.76,32,1015,0.13,70,0.0,5,132.43,140.03,140.76,1.42,3.85,502.7
2025-12-08,Khulna,Khulna,22.937209,89.285274,25.37,37,1016,2.71,89,0.0,5,309.37,336.84,184.01,16.41,30.78,1322.13
2025-12-08,Kishoreganj,Dhaka,24.433982,90.785723,25.0,40,1015,1.33,100,0.0,5,225.75,243.31,145.17,2.83,3.51,821.11
2025-12-08,Kurigram,Rangpur,25.813013,89.643052,23.1,50,1016,3.8,42,0.0,5,290.19,311.55,144.0,5.21,4.94,1159.94
2025-12-08,Kushtia,Khulna,23.898795,89.129554,25.19,35,1016,2.85,92,0.0,5,326.03,371.14,160.59,29.16,36.41,1749.85
2025-12-08,Lakshmipur,Chattogram,22.944537,90.827635,25.5,42,1015,2.41,96,0.0,5,180.57,190.95,144.61,1.27,3.08,605.1
2025-12-08,Lalmonirhat,Rangpur,25.916351,89.446139,24.68,39,1016,3.4,31,0.0,5,307.03,329.75,148.75,5.75,5.89,1207.77
2025-12-08,Madaripur,Dhaka,23.167518,90.204727,26.16,38,1015,2.91,90,0.0,5,211.4,223.76,147.74,2.19,6.49,670.6
2025-12-08,Magura,Khulna,23.488077,89.420182,25.36,37,1016,2.94,98,0.0,5,304.85,332.76,172.43,12.01,18.67,1321.35
2025-12-08,Manikganj,Dhaka,23.832984,89.966688,24.58,45,1016,3.11,100,0.0,5,281.48,303.08,149.48,7.61,10.77,1068.22
2025-12-08,Meherpur,Khulna,23.781785,88.636937,24.98,32,1016,2.65,92,0.0,5,322.86,367.63,144.75,34.48,42.75,1782.18
2025-12-08,Moulvibazar,Sylhet,24.488082,91.763018,23.61,52,1015,1.57,93,0.0,5,163.26,179.41,142.4,6.12,5.63,756.61
2025-12-08,Munshiganj,Dhaka,23.54838,90.534972,26.07,36,1015,2.47,74,0.0,5,222.1,236.13,138.29,2.78,5.07,735.86
2025-12-08,Mymensingh,Mymensingh,24.888931,90.384519,24.78,45,1016,1.22,91,0.0,5,254.7,272.94,142.84,3.6,4.45,942.65
2025-12-08,Naogaon,Rajshahi,24.807323,88.944545,25.1,39,1016,2.97,58,0.0,5,295.07,324.87,161.28,12.08,16.69,1251.27
2025-12-08,Narail,Khulna,25.074884,90.391651,24.98,46,1016,1.54,98,0.0,5,253.9,271.72,142.32,3.24,4.3,951.12
2025-12-08,Narayanganj,Dhaka,23.623673,90.498807,26.01,36,1015,2.37,77,0.0,5,227.97,242.92,138.3,3.27,4.92,777.14
2025-12-08,Narsingdi,Dhaka,23.919715,90.715298,25.06,37,1015,1.44,96,0.0,5,219.07,234.06,136.78,2.91,3.49,766.83
2025-12-08,Natore,Rajshahi,24.413185,88.986668,25.33,35,1016,3.02,67,0.0,5,290.62,319.77,165.71,13.88,15.19,1292.44
2025-12-08,Netrokona,Mymensingh,24.891567,90.712533,24.89,38,1015,1.32,91,0.0,5,216.89,233.12,141.54,2.6,3.45,815.68
2025-12-08,Nilphamari,Rangpur,25.933927,88.853459,24.85,40,1016,2.5,20,0.0,5,315.81,344.01,156.46,7.28,13.14,1227.93
2025-12-08,Noakhali,Chattogram,22.25408,91.17144,20.99,66,1015,3.51,92,0.0,5,157.01,165.95,142.95,0.88,2.81,549.04
2025-12-08,Pabna,Rajshahi,24.006808,89.244834,25.24,36,1016,2.83,93,0.0,5,314.44,348.41,160.74,17.17,22.26,1447.17
2025-12-08,Panchagarh,Rangpur,26.320945,88.547114,24.36,48,1016,0.98,5,0.0,5,316.95,347.45,156.55,7.35,14.91,1264.2
2025-12-08,Patuakhali,Barishal,22.008424,90.382683,24.7,48,1015,2.5,94,0.0,5,160.64,170.01,158.15,0.83,2.73,535.6
2025-12-08,Pirojpur,Barishal,22.50956,90.00725,25.92,41,1015,2.98,95,0.0,5,195.71,206.87,160.95,1.42,6.11,597.75
2025-12-08,Rajbari,Dhaka,23.739837,89.570413,25.04,39,1016,2.63,100,0.0,5,311.26,340.02,169.08,11.98,18.17,1341.41
2025-12-08,Rajshahi,Rajshahi,24.628543,89.037686,25.3,37,1016,2.92,66,0.0,5,295.55,323.81,158.95,11.35,14.17,1239.45
