date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2026-05-08,Bagerhat,Khulna,22.655478,89.794181,35.18,40,1009,2.14,6,0.0,1,7.66,11.54,49.24,0.68,0.88,158.09
2026-05-08,Bandarban,Chattogram,21.787476,92.412475,37.14,28,1008,2.53,95,0.0,1,5.76,8.35,46.96,0.95,0.61,126.18
2026-05-08,Barguna,Barishal,22.131336,90.117243,33.87,45,1009,4.02,0,0.0,1,0.71,1.64,20.97,0.03,0.09,108.89
2026-05-08,Barishal,Barishal,22.493403,90.354801,35.12,39,1009,2.25,0,0.0,1,3.05,5.12,33.23,0.24,0.45,119.52
2026-05-08,Bhola,Barishal,22.143569,90.790409,29.84,63,1009,2.55,0,0.0,1,0.73,1.61,21.25,0.02,0.03,99.69
2026-05-08,Bogura,Rajshahi,24.850066,89.372843,32.98,44,1009,3.0,100,0.0,5,87.47,95.41,150.39,4.13,13.61,398.99
2026-05-08,Brahmanbaria,Chattogram,23.9606,91.119089,33.06,55,1009,2.57,40,0.0,2,24.68,30.26,84.31,1.14,1.57,215.25
2026-05-08,Chandpur,Chattogram,23.224176,90.6531,31.89,48,1009,1.26,6,0.0,2,13.86,17.57,59.45,0.67,1.33,143.91
2026-05-08,Chapai Nawabganj,Rajshahi,24.599887,88.285047,35.48,32,1008,2.42,94,0.0,5,79.32,88.08,120.73,4.61,9.99,492.96
2026-05-08,Chattogram,Chattogram,22.333778,91.834435,31.93,62,1009,5.14,40,0.0,1,4.26,6.11,39.75,0.15,0.15,119.69
2026-05-08,Chuadanga,Khulna,23.643661,88.846448,35.62,33,1008,0.7,2,0.0,4,70.83,82.68,125.28,10.77,24.49,465.46
2026-05-08,Cox's Bazar,Chattogram,21.176647,92.003505,27.87,78,1009,7.17,79,0.0,1,1.53,3.24,26.38,0.07,0.1,100.02
2026-05-08,Cumilla,Chattogram,23.461061,91.180875,34.59,41,1009,2.98,55,0.0,2,18.73,25.54,57.89,3.88,1.59,269.75
2026-05-08,Dhaka,Dhaka,23.764386,90.389014,32.98,40,1009,2.57,20,0.0,3,35.54,41.22,97.69,1.14,3.22,208.83
2026-05-08,Dinajpur,Rangpur,25.626071,88.634623,32.23,45,1010,2.33,0,0.0,5,156.09,166.95,206.66,5.38,33.83,478.41
2026-05-08,Faridpur,Dhaka,23.604018,89.841554,33.86,38,1009,1.67,0,0.0,3,45.17,51.75,103.67,2.57,6.68,255.88
2026-05-08,Feni,Chattogram,23.01276,91.404923,34.73,42,1009,2.36,1,0.0,2,12.37,18.25,40.6,3.87,1.06,258.62
2026-05-08,Gaibandha,Rangpur,25.086001,89.869644,33.43,44,1010,2.02,73,0.0,4,53.04,58.99,141.36,1.28,3.88,292.39
2026-05-08,Gazipur,Dhaka,23.999756,90.417363,33.01,40,1009,2.57,20,0.0,3,38.7,44.98,101.26,1.21,2.72,220.91
