date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2026-02-22,Bagerhat,Khulna,22.655478,89.794181,33.71,19,1008,2.45,0,0.0,5,220.95,241.21,131.49,1.28,8.52,836.06
2026-02-22,Bandarban,Chattogram,21.787476,92.412475,34.46,15,1007,2.36,5,0.0,5,173.37,188.29,149.32,0.61,5.39,541.18
2026-02-22,Barguna,Barishal,22.131336,90.117243,32.43,21,1008,1.35,5,0.0,5,267.0,283.88,139.89,0.49,4.04,774.01
2026-02-22,Barishal,Barishal,22.493403,90.354801,33.1,18,1008,3.12,0,0.0,5,217.21,233.11,128.52,0.69,4.92,669.05
2026-02-22,Bhola,Barishal,22.143569,90.790409,25.89,46,1009,1.32,2,0.0,5,260.31,277.42,154.35,0.43,6.98,709.68
2026-02-22,Bogura,Rajshahi,24.850066,89.372843,31.88,19,1008,3.69,0,0.0,5,94.01,105.88,163.56,3.97,22.73,384.31
2026-02-22,Brahmanbaria,Chattogram,23.9606,91.119089,29.06,45,1008,2.57,40,0.0,5,103.35,115.82,143.98,2.22,8.8,441.31
2026-02-22,Chandpur,Chattogram,23.224176,90.6531,30.07,27,1008,2.94,1,0.0,5,85.38,92.81,155.41,1.1,6.61,313.64
2026-02-22,Chapai Nawabganj,Rajshahi,24.599887,88.285047,31.92,20,1008,3.86,0,0.0,5,98.12,111.6,157.38,8.1,38.68,417.01
2026-02-22,Chattogram,Chattogram,22.333778,91.834435,30.93,100,1008,4.12,0,0.0,5,146.11,157.62,126.86,0.68,4.41,531.84
2026-02-22,Chuadanga,Khulna,23.643661,88.846448,31.26,23,1008,1.29,0,0.0,5,132.83,151.95,180.54,10.07,48.36,609.32
2026-02-22,Cox's Bazar,Chattogram,21.176647,92.003505,24.57,59,1008,8.3,3,0.0,5,227.48,246.72,178.22,0.29,9.99,579.56
2026-02-22,Cumilla,Chattogram,23.461061,91.180875,33.28,17,1008,4.39,5,0.0,5,111.07,123.56,138.24,1.96,6.11,481.32
2026-02-22,Dhaka,Dhaka,23.764386,90.389014,27.98,34,1008,2.57,0,0.0,5,107.23,117.41,165.4,2.23,20.0,383.49
2026-02-22,Dinajpur,Rangpur,25.626071,88.634623,30.55,16,1008,5.24,0,0.0,5,78.0,88.65,170.47,2.9,16.9,347.74
2026-02-22,Faridpur,Dhaka,23.604018,89.841554,29.93,24,1009,2.16,0,0.0,5,126.17,139.61,177.25,4.09,31.4,481.38
2026-02-22,Feni,Chattogram,23.01276,91.404923,33.96,15,1008,3.09,6,0.0,5,132.06,145.1,120.65,1.58,3.29,575.19
2026-02-22,Gaibandha,Rangpur,25.086001,89.869644,31.33,19,1008,3.82,0,0.0,5,87.35,97.48,157.37,2.24,15.59,356.37
2026-02-22,Gazipur,Dhaka,23.999756,90.417363,29.01,32,1008,2.06,5,0.0,5,100.58,110.32,161.66,2.04,16.32,360.15
