date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2026-03-30,Bagerhat,Khulna,22.655478,89.794181,36.42,36,1007,5.55,0,0.0,3,31.3,55.83,61.14,0.09,0.4,164.33
2026-03-30,Bandarban,Chattogram,21.787476,92.412475,36.89,29,1008,2.73,17,0.0,3,49.92,68.71,74.56,0.06,0.22,192.16
2026-03-30,Barguna,Barishal,22.131336,90.117243,31.36,54,1009,6.78,0,0.0,3,38.96,62.15,67.14,0.05,0.3,175.05
2026-03-30,Barishal,Barishal,22.493403,90.354801,34.4,42,1008,6.42,5,0.0,3,37.53,61.37,65.83,0.06,0.31,174.21
2026-03-30,Bhola,Barishal,22.143569,90.790409,27.38,77,1010,6.35,0,0.0,3,44.03,66.14,71.42,0.05,0.28,184.0
2026-03-30,Bogura,Rajshahi,24.850066,89.372843,34.46,37,1007,3.7,8,0.0,4,58.02,72.66,113.91,6.9,13.58,350.14
2026-03-30,Brahmanbaria,Chattogram,23.9606,91.119089,32.06,62,1007,3.6,40,0.0,3,34.07,45.76,69.06,0.76,1.89,206.33
2026-03-30,Chandpur,Chattogram,23.224176,90.6531,31.98,53,1008,3.96,0,0.0,3,33.73,49.76,68.92,0.19,0.73,174.87
2026-03-30,Chapai Nawabganj,Rajshahi,24.599887,88.285047,35.69,34,1006,3.6,0,0.0,4,74.55,95.0,139.63,3.3,12.34,379.42
2026-03-30,Chattogram,Chattogram,22.333778,91.834435,30.93,66,1009,4.63,20,0.0,3,49.43,68.31,77.48,0.05,0.25,190.24
2026-03-30,Chuadanga,Khulna,23.643661,88.846448,36.12,35,1007,4.17,0,0.0,4,54.68,76.71,135.92,3.91,16.13,285.06
2026-03-30,Cox's Bazar,Chattogram,21.176647,92.003505,27.31,72,1010,4.52,6,0.0,4,50.25,70.06,72.98,0.05,0.23,194.12
2026-03-30,Cumilla,Chattogram,23.461061,91.180875,33.6,44,1008,5.48,63,0.0,3,35.42,49.64,71.19,0.36,1.08,188.69
2026-03-30,Dhaka,Dhaka,23.764386,90.389014,30.98,58,1007,3.09,75,0.0,3,32.97,46.59,87.81,0.82,2.59,188.25
2026-03-30,Dinajpur,Rangpur,25.626071,88.634623,31.6,45,1008,0.94,45,0.0,5,85.75,100.1,146.09,7.8,29.8,350.5
2026-03-30,Faridpur,Dhaka,23.604018,89.841554,35.54,36,1007,4.85,0,0.0,3,38.97,55.02,105.38,1.44,5.94,207.75
2026-03-30,Feni,Chattogram,23.01276,91.404923,30.87,58,1009,5.58,35,0.0,3,40.75,56.23,75.25,0.1,0.48,183.84
2026-03-30,Gaibandha,Rangpur,25.086001,89.869644,32.22,45,1008,4.22,0,0.0,3,40.52,52.02,101.66,2.17,3.76,248.97
2026-03-30,Gazipur,Dhaka,23.999756,90.417363,31.01,58,1007,3.09,75,0.0,3,31.95,44.31,82.24,0.9,2.32,193.44
2026-03-30,Gopalganj,Dhaka,23.004994,89.830318,36.62,34,1007,4.83,1,0.0,3,33.0,51.8,84.67,0.49,2.44,175.59
2026-03-30,Habiganj,Sylhet,24.374603,91.414027,31.92,48,1008,2.85,55,0.0,3,32.29,40.81,79.27,1.2,2.47,219.98
2026-03-30,Jamalpur,Mymensingh,24.925587,89.943668,31.63,49,1008,3.85,2,0.0,3,41.3,53.07,105.12,2.28,4.47,254.97
2026-03-30,Jashore,Khulna,23.166526,89.209442,36.1,36,1007,5.05,10,0.0,3,33.33,52.86,91.75,1.11,4.79,182.68
2026-03-30,Jhalokathi,Barishal,22.56239,90.174282,34.98,41,1008,6.23,0,0.0,3,35.97,60.81,63.48,0.06,0.33,171.75
2026-03-30,Jhenaidah,Khulna,23.544696,89.173194,35.75,37,1007,5.05,1,0.0,3,44.68,64.95,118.55,2.62,11.12,235.33
2026-03-30,Joypurhat,Rajshahi,25.111402,88.98842,33.45,40,1007,2.43,39,0.0,4,57.85,70.93,81.09,15.37,24.65,417.9
2026-03-30,Khagrachhari,Chattogram,23.1078,91.988996,35.03,36,1008,3.15,0,0.0,3,43.22,56.21,76.6,0.06,0.4,185.73
2026-03-30,Khulna,Khulna,22.937209,89.285274,36.7,34,1007,5.16,18,0.0,3,30.89,52.0,76.75,0.62,2.65,170.96
2026-03-30,Kishoreganj,Dhaka,24.433982,90.785723,33.7,39,1007,4.54,88,0.0,3,26.97,35.69,87.51,0.92,1.32,208.87
2026-03-30,Kurigram,Rangpur,25.813013,89.643052,27.52,61,1009,1.14,36,0.0,3,39.72,47.83,89.03,3.54,4.68,309.02
2026-03-30,Kushtia,Khulna,23.898795,89.129554,36.07,34,1007,5.1,0,0.0,4,61.38,84.22,146.13,4.18,17.95,307.87
2026-03-30,Lakshmipur,Chattogram,22.944537,90.827635,31.37,57,1008,6.02,3,0.0,3,38.74,58.01,71.54,0.09,0.42,178.52
2026-03-30,Lalmonirhat,Rangpur,25.916351,89.446139,29.76,50,1008,1.75,45,0.0,3,46.05,54.79,103.99,3.49,6.2,314.96
2026-03-30,Madaripur,Dhaka,23.167518,90.204727,35.95,36,1007,4.55,0,0.0,3,33.7,52.05,76.87,0.23,1.22,173.98
2026-03-30,Magura,Khulna,23.488077,89.420182,35.92,36,1007,5.35,0,0.0,3,42.47,61.23,116.84,1.87,8.73,217.13
2026-03-30,Manikganj,Dhaka,23.832984,89.966688,34.89,38,1007,3.88,0,0.0,3,41.93,58.17,110.04,1.81,7.19,221.85
2026-03-30,Meherpur,Khulna,23.781785,88.636937,36.33,34,1007,3.96,1,0.0,4,51.27,72.29,124.68,2.99,12.18,268.11
2026-03-30,Moulvibazar,Sylhet,24.488082,91.763018,31.99,47,1008,5.79,47,0.0,3,30.68,37.82,73.38,1.88,2.58,233.04
2026-03-30,Munshiganj,Dhaka,23.54838,90.534972,34.81,40,1007,5.12,15,0.0,3,32.75,47.33,78.06,0.47,1.58,181.03
2026-03-30,Mymensingh,Mymensingh,24.888931,90.384519,33.58,40,1007,5.02,32,0.0,3,34.97,45.44,96.7,1.33,2.17,230.54
2026-03-30,Naogaon,Rajshahi,24.807323,88.944545,34.41,38,1007,3.44,3,0.0,4,68.7,84.88,105.16,13.15,23.29,455.08
2026-03-30,Narail,Khulna,25.074884,90.391651,33.37,41,1007,3.41,19,0.0,3,36.02,46.87,95.25,1.34,1.99,234.54
2026-03-30,Narayanganj,Dhaka,23.623673,90.498807,31.01,38,1007,5.26,25,0.0,3,32.35,45.82,80.15,0.68,1.95,187.23
2026-03-30,Narsingdi,Dhaka,23.919715,90.715298,34.82,38,1007,4.96,45,0.0,3,30.72,42.7,74.21,0.73,1.59,191.89
2026-03-30,Natore,Rajshahi,24.413185,88.986668,36.71,31,1006,4.48,1,0.0,5,90.4,112.77,153.1,8.72,20.56,529.13
